Model,Nodes,Length,Percent_error,Time_ms
АКМ,10,145,11.84,240
АКМ,20,395,6.77,1281
АКМ,30,711,4.87,2674
АКМ,40,1052,6.06,5108
АКМ,50,1494,6.12,8679
АКМ,60,1945,6.3,13383
АКМ,70,2487,9.42,15602
АКМ,80,3035,8.64,21577
АКМ,90,3615,9.75,31267
АКМ,100,4338,11.9,33877
АКМ,110,4928,11.92,39303
АКМ,120,5646,12.91,33194
АКМ,130,6374,12.61,39325
АКМ,140,7120,13.53,47133
АКМ,150,7938,13.86,53215
АКМ,200,12331,16.11,89372
АКМ,300,23251,20.29,245638
АКМ,500,51639,25.21,711659
