Model,Nodes,Length,Percent_error,Time_ms
МБС,10,166,27.68,0
МБС,20,466,26.1,0
МБС,30,841,23.95,0
МБС,40,1269,27.75,0
МБС,50,1817,29.13,1
МБС,60,2334,27.64,1
МБС,70,2834,24.79,1
МБС,80,3467,24.12,1
МБС,90,4133,25.53,1
МБС,100,5013,29.31,1
МБС,110,5517,25.27,2
МБС,120,6277,25.57,2
МБС,130,7228,27.7,3
МБС,140,7908,26.08,2
МБС,150,8712,24.94,4
МБС,200,13587,27.98,3
МБС,300,24701,27.8,6
МБС,500,52061,26.25,17
